common_name,scientific_name,set,power_color,power_category,power_text,predator,flocking,bonus_card,victory_points,nest_type,egg_capacity,wingspan,forest,grassland,wetland,invertebrate,seed,fish,fruit,rodent,nectar,any_food,food_cost_div,food_cost_mul,total_food_cost,anatomist,cartographer,historian,photographer,backyard_birder,bird_bander,bird_counter,bird_feeder,diet_specialist,enclosure_builder,falconer,fishery_manager,food_web_expert,forester,large_bird_specialist,nest_box_builder,omnivore_expert,passerine_specialist,platform_builder,prairie_manager,rodentologist,viticulturalist,wetland_scientist,wildlife_gardener
American Robin,Turdus migratorius,core,Brown,Flocking,"Tuck a [card] from your hand behind this bird. If you do, draw 1 [card].",FALSE,TRUE,FALSE,1,Bowl,4,43,TRUE,TRUE,FALSE,1,0,0,1,0,0,0,TRUE,FALSE,1,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
American White Pelican,Pelecanus erythrorhynchos,core,Brown,Flocking,Discard a [fish] to tuck 2 [card] from the deck behind this bird.,FALSE,TRUE,FALSE,5,Ground,1,274,FALSE,FALSE,TRUE,0,0,2,0,0,0,0,FALSE,FALSE,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
American Woodcock,Scolopax minor,core,NA,NA,,FALSE,FALSE,FALSE,9,Ground,2,46,TRUE,TRUE,FALSE,2,1,0,0,0,0,0,FALSE,FALSE,3,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Anhinga,Anhinga anhinga,core,Brown,Hunting/Fishing,"Roll all dice not in birdfeeder. If any are [fish], gain 1 [fish] and cache it on this card.",TRUE,FALSE,FALSE,6,Platform,2,114,FALSE,FALSE,TRUE,0,0,2,0,0,0,0,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Anna's Hummingbird,Calypte anna,core,Brown,Food from Birdfeeder,"Each player gains 1 [die] from the birdfeeder, starting with the player of your choice.",FALSE,FALSE,FALSE,4,Bowl,2,13,TRUE,TRUE,TRUE,0,0,0,0,0,0,1,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Ash-Throated Flycatcher,Myiarchus cinerascens,core,White,Egg-laying,Lay 1 [egg] on each of your birds with a [cavity] nest.,FALSE,FALSE,FALSE,4,Cavity,4,30,FALSE,TRUE,FALSE,2,0,0,1,0,0,0,FALSE,FALSE,3,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
Atlantic Puffin,Fratercula arctica,core,White,Other,Draw 2 new bonus cards and keep 1.,FALSE,FALSE,TRUE,8,Wild,1,53,FALSE,FALSE,TRUE,0,0,3,0,0,0,0,FALSE,FALSE,3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
Audouin's Gull,Ichthyaetus audouinii,european,Brown,Flocking,Draw 2 [card] from the deck. Tuck 1 behind this bird and keep the other.,FALSE,TRUE,FALSE,1,Ground,2,132,FALSE,FALSE,TRUE,0,0,1,0,0,0,1,FALSE,FALSE,2,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Australasian Pipit,Anthus novaeseelandiae,oceania,Yellow,Flocking,"Tuck 1 [card] from the deck behind each bird in your [grassland], including this one.",FALSE,TRUE,FALSE,3,Ground,4,31,FALSE,TRUE,FALSE,1,1,0,0,0,0,0,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Australasian Shoveler,Spatula rhynchotis,oceania,Brown,Egg-laying,Choose 1 other player. You both draw 1 [card] from the deck.,FALSE,FALSE,FALSE,4,Ground,4,75,FALSE,FALSE,TRUE,1,1,0,0,0,0,0,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Australian Ibis,Threskiornis moluccus,oceania,Brown,Card-drawing,"Shuffle the discard pile, then draw 2 [card] from it. Choose 1 and tuck it behind this bird or add it to your hand. Discard the other.",FALSE,TRUE,FALSE,5,Platform,2,118,FALSE,TRUE,TRUE,1,0,1,0,0,0,1,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Australian Magpie,Gymnorhina tibicen,oceania,Yellow,Food-related,"Discard 1 [egg] from each bird in this row and column that has an [egg] on it, excluding this bird. For each discarded [egg], cache 2 [seed] from the supply on this bird.",FALSE,FALSE,FALSE,4,Platform,2,75,FALSE,TRUE,FALSE,1,0,0,0,2,0,0,FALSE,FALSE,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Australian Owlet-Nightjar,Aegotheles cristatus,oceania,Pink,Food-related,"When another player takes the ""gain food"" action, gain 1 [invertebrate] from the birdfeeder, if there is one, at the end of their turn.",FALSE,FALSE,FALSE,2,Cavity,2,28,TRUE,TRUE,TRUE,1,0,0,0,1,0,0,TRUE,FALSE,1,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Australian Raven,Corvus coronoides,oceania,Yellow,Flocking,Cache up to 5 [wild] from your supply on this bird.,FALSE,FALSE,FALSE,7,Platform,3,100,TRUE,TRUE,TRUE,1,0,0,0,1,0,1,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Australian Reed Warbler,Acrocephalus australis,oceania,White,NA,Play another bird in your wetland. Pay its normal cost with a 1 [egg] discount.,FALSE,FALSE,FALSE,2,Bowl,3,21,FALSE,FALSE,TRUE,1,0,0,0,0,0,0,FALSE,FALSE,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Australian Shelduck,Tadorna tadornoides,oceania,Brown,Other,Draw 1 face-up [card] from the tray with a [cavity] or [star] nest. You may reset or refill the tray before doing so.,FALSE,FALSE,FALSE,3,Cavity,4,113,FALSE,FALSE,TRUE,1,1,0,0,0,0,0,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Australian Zebra Finch,Taeniopygia castanotis,oceania,Brown,Other,"If the player to your right has a [seed] in their personal supply, tuck a [card] from the deck behind this bird.",FALSE,FALSE,FALSE,1,Wild,3,22,FALSE,TRUE,FALSE,0,1,0,0,0,0,0,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
Baird's Sparrow,Ammodramus bairdii,core,Brown,Egg-laying,Lay 1 [egg] on any bird.,FALSE,FALSE,FALSE,3,Ground,2,23,FALSE,TRUE,FALSE,1,1,0,0,0,0,0,FALSE,FALSE,2,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Bald Eagle,Haliaeetus leucocephalus,core,White,Food from Birdfeeder,Gain all [fish] that are in the birdfeeder.,FALSE,FALSE,FALSE,9,Platform,1,203,FALSE,FALSE,TRUE,0,0,2,0,1,0,0,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
Baltimore Oriole,Icterus galbula,core,Brown,Food from Supply,All players gain 1 [fruit] from the supply.,FALSE,FALSE,FALSE,9,Wild,2,30,TRUE,FALSE,FALSE,1,0,0,2,0,0,0,FALSE,FALSE,3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
Barn Owl,Tyto alba,core,Brown,Hunting/Fishing,"Roll all dice not in birdfeeder. If any are [rodent], gain 1 [rodent] and cache it on this card.",TRUE,FALSE,FALSE,5,Cavity,4,107,TRUE,TRUE,TRUE,0,0,0,0,2,0,0,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Barn Swallow,Hirundo rustica,core,Brown,Flocking,"Tuck a [card] from your hand behind this bird. If you do, draw 1 [card].",FALSE,TRUE,FALSE,1,Wild,3,38,FALSE,TRUE,TRUE,1,0,0,0,0,0,0,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Barred Owl,Strix varia,core,Brown,Hunting/Fishing,"Look at a [card] from the deck. If <75cm, tuck it behind this bird. If not, discard it.",TRUE,FALSE,FALSE,3,Cavity,2,107,TRUE,FALSE,FALSE,0,0,0,0,1,0,0,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Barrow's Goldeneye,Bucephala islandica,core,Pink,Egg-laying,"When another player takes the ""lay eggs"" action, this bird lays 1 [egg] on another bird with a [cavity] nest.",FALSE,FALSE,FALSE,5,Cavity,4,71,FALSE,FALSE,TRUE,1,1,1,0,0,0,0,FALSE,FALSE,3,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Bell's Vireo,Vireo bellii,core,White,Other,Draw 2 new bonus cards and keep 1.,FALSE,FALSE,TRUE,4,Wild,2,18,TRUE,TRUE,FALSE,2,0,0,0,0,0,0,FALSE,FALSE,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Belted Kingfisher,Megaceryle alcyon,core,Pink,Food from Supply,"When another player plays a [wetland] bird, gain 1 [fish] from the supply.",FALSE,FALSE,FALSE,4,Wild,4,53,FALSE,FALSE,TRUE,0,0,1,0,0,0,1,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
Bewick's Wren,Thryomanes bewickii,core,Brown,Other,"If this bird is to the right of all other birds in its habitat, move it to another habitat.",FALSE,FALSE,FALSE,4,Cavity,3,18,TRUE,TRUE,TRUE,2,1,0,0,0,0,0,FALSE,FALSE,3,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Black Noddy,Anous minutus,oceania,Brown,Other,"Reset the birdfeeder and gain all [fish], if there are any. You may discard any of these [fish] to tuck that many [card] from the deck behind this bird instead.",FALSE,TRUE,FALSE,9,Platform,1,69,FALSE,FALSE,TRUE,0,0,3,0,0,0,0,FALSE,FALSE,3,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Black Redstart,Phoenicurus ochruros,european,Teal,Egg-laying,Choose a habitat with no [egg]. Lay 1 [egg] on each bird in that habitat.,FALSE,FALSE,FALSE,0,Wild,4,24,FALSE,TRUE,FALSE,1,1,0,1,0,0,0,FALSE,FALSE,3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
Black Skimmer,Rynchops niger,core,Brown,Hunting/Fishing,"Roll all dice not in birdfeeder. If any are [fish], gain 1 [fish] and cache it on this card.",TRUE,FALSE,FALSE,6,Ground,2,112,FALSE,FALSE,TRUE,0,0,2,0,0,0,0,FALSE,FALSE,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Black Swan,Cygnus atratus,oceania,Yellow,Other,"Lay 1 [egg] on each of your birds with a wingspan over 100cm, including this one.",FALSE,FALSE,FALSE,6,Ground,3,180,FALSE,FALSE,TRUE,0,1,0,0,0,0,2,FALSE,FALSE,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Black Tern,Chlidonias niger,core,Brown,Card-drawing,"Draw 1 [card]. If you do, discard 1 [card] from your hand at the end of your turn.",FALSE,FALSE,FALSE,4,Wild,2,61,FALSE,FALSE,TRUE,1,0,1,0,0,0,0,TRUE,FALSE,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
Black Vulture,Coragyps atratus,core,Pink,Food from Birdfeeder,"When another player's predator succeeds, gain 1 [die] from the birdfeeder.",FALSE,FALSE,FALSE,2,Cavity,1,150,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,FALSE,0,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Black Woodpecker,Dryocopus martius,european,Brown,Food-related,Gain all [invertebrate] that are in the birdfeeder.,FALSE,FALSE,FALSE,4,Cavity,2,70,TRUE,FALSE,FALSE,2,0,0,1,0,0,0,FALSE,FALSE,3,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Black-Bellied Whistling Duck,Dendrocygna autumnalis,core,Brown,Flocking,Discard 1 [seed] to tuck 2 [card] from the deck behind this bird.,FALSE,TRUE,FALSE,2,Cavity,5,76,FALSE,FALSE,TRUE,0,2,0,0,0,0,0,FALSE,FALSE,2,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Black-Billed Magpie,Pica hudsonia,core,Pink,Food from Birdfeeder,"When another player's predator succeeds, gain 1 [die] from the birdfeeder.",FALSE,FALSE,FALSE,3,Wild,3,64,FALSE,TRUE,FALSE,0,0,0,0,0,0,2,FALSE,FALSE,2,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
Black-Chinned Hummingbird,Archilochus alexandri,swiftstart,Brown,NA,All players gain a [fruit] from the supply.,FALSE,FALSE,FALSE,4,Bowl,2,8,TRUE,TRUE,TRUE,0,0,0,0,0,0,1,FALSE,FALSE,1,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Black-Crowned Night-Heron,Nycticorax nycticorax,core,Brown,Food from Supply,Discard 1 [egg] from any of your other birds to gain 1 [wild] from the supply.,FALSE,FALSE,FALSE,9,Platform,2,112,FALSE,FALSE,TRUE,1,0,1,0,1,0,0,FALSE,FALSE,3,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
Black-Headed Gull,Chroicocephalus ridibundus,european,Brown,Food-related,Steal 1 [wild] from another player's supply and add it to your own supply. They gain 1 [die] from the birdfeeder.,FALSE,FALSE,FALSE,3,Ground,2,102,FALSE,FALSE,TRUE,1,0,0,0,0,0,1,FALSE,FALSE,2,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Black-Necked Stilt,Himantopus mexicanus,core,White,Card-drawing,Draw 2 [card].,FALSE,FALSE,FALSE,4,Ground,2,74,FALSE,FALSE,TRUE,2,0,0,0,0,0,0,FALSE,FALSE,2,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Black-Shouldered Kite,Elanus axillaris,oceania,Brown,Food-related,"Reset the birdfeeder and gain 1 [rodent], if there is one. You may give it to another player; if you do, lay up to 3 [egg] on this bird.",TRUE,FALSE,FALSE,2,Platform,3,87,FALSE,TRUE,FALSE,0,0,0,0,2,0,0,FALSE,FALSE,2,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Black-Tailed Godwit,Limosa limosa,european,White,Other,Draw 1 new bonus card. Then draw 3 [card] and keep 1 of them.,FALSE,FALSE,TRUE,6,Ground,2,76,FALSE,FALSE,TRUE,2,1,0,0,0,0,0,FALSE,FALSE,3,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Black-Throated Diver,Gavia arctica,european,Brown,Card-drawing,"Discard all remaining face-up [card] and refill the tray. If you do, draw 1 of the new face-up [card].",FALSE,FALSE,FALSE,5,Ground,1,120,FALSE,FALSE,TRUE,0,0,2,0,0,0,0,FALSE,FALSE,2,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
